date,advbw,bwhist
2010-01-01,3.253784,
2010-01-02,3.312534,
2010-01-03,3.273342,
2010-01-04,3.205056,
2010-01-05,3.337974,
2010-01-06,3.522159,
2010-01-07,3.286463,
2010-01-08,3.366123,
2010-01-09,3.556369,
2010-01-10,3.616894,
2010-01-11,3.456759,
2010-01-12,3.404383,
2010-01-13,3.445831,
2010-01-14,3.542319,
2010-01-15,3.005309,
2010-01-16,3.248911,
2010-01-17,3.249918,
2010-01-18,3.269911,
2010-01-19,3.370415,
2010-01-20,3.342973,
2010-01-21,3.306625,
2010-01-22,3.397510,
2010-01-23,3.443168,
2010-01-24,3.445355,
2010-01-27,3.136442,
2010-01-28,3.281060,
2010-01-29,3.235129,
2010-01-30,3.156077,
2010-01-31,3.245149,
2010-02-01,3.206773,
2010-02-02,3.246801,
2010-02-03,3.307540,
2010-02-04,3.440259,
2010-02-05,3.533108,
2010-02-06,3.499793,
2010-02-07,3.484250,
2010-02-08,3.389168,
2010-02-09,3.271617,
2010-02-10,3.340489,
2010-02-11,3.399468,
2010-02-12,3.474514,
2010-02-13,3.436593,
2010-02-14,3.438850,
2010-02-15,3.413337,
2010-02-16,3.365482,
2010-02-17,3.415590,
2010-02-18,3.369029,
2010-02-19,3.425833,
2010-02-20,3.474939,
2010-02-21,3.511678,
2010-02-22,3.463864,
2010-02-23,3.468420,
2010-02-24,3.379393,
2010-02-25,3.302727,
2010-02-26,3.266914,
2010-02-27,3.418291,
2010-02-28,3.381687,
2010-03-01,3.181405,
2010-03-02,3.335465,
2010-03-03,3.378728,
2010-03-04,3.348147,
2010-03-05,3.262081,
2010-03-06,3.359971,
2010-03-07,3.413622,
2010-03-09,3.111041,
2010-03-10,3.010177,
2010-03-11,3.004599,
2010-03-12,3.120652,
2010-03-13,3.296205,
2010-03-14,3.389372,
2010-03-15,3.366298,
2010-03-16,3.465342,
2010-03-17,3.242374,
2010-03-18,3.206636,
2010-03-19,3.180383,
2010-03-20,3.233515,
2010-03-21,3.169257,
2010-03-22,3.384622,
2010-03-23,3.406332,
2010-03-24,3.605616,
2010-03-25,3.647398,
2010-03-26,3.238687,
2010-03-27,3.293160,
2010-03-28,3.240038,
2010-03-29,3.187391,
2010-03-30,3.236325,
2010-03-31,3.229680,
2010-04-01,3.126514,
2010-04-02,3.190941,
2010-04-03,3.267533,
2010-04-04,3.215132,
2010-04-05,3.033431,
2010-04-06,3.200717,
2010-04-07,3.142727,
2010-04-08,3.067804,
2010-04-09,3.062339,
2010-04-10,3.158503,
2010-04-11,2.760027,
2010-04-12,2.437432,
2010-04-13,2.586281,
2010-04-14,2.523398,
2010-04-15,2.617014,
2010-04-16,2.591866,
2010-04-17,2.559952,
2010-04-18,2.587749,
2010-04-19,2.351129,
2010-04-20,2.347350,
2010-04-21,2.481868,
2010-04-22,2.407418,
2010-04-23,2.383191,
2010-04-24,2.514472,
2010-04-25,2.566011,
2010-04-26,2.527824,
2010-04-27,2.524266,
2010-04-28,2.529973,
2010-04-29,2.539597,0.000393
2010-04-30,2.504383,1.147434
2010-05-01,,1.840191
2010-05-02,2.626284,1.636430
2010-05-03,2.609876,1.751997
2010-05-04,2.608039,1.856229
2010-05-05,2.710462,2.068176
2010-05-06,3.366389,2.279642
2010-05-07,3.506936,2.400359
2010-05-08,3.525418,2.466115
2010-05-09,3.591394,2.424413
2010-05-10,3.466813,2.466786
2010-05-11,3.548561,2.457864
2010-05-12,3.542518,2.479040
2010-05-13,3.543924,2.486185
2010-05-14,3.520300,2.510654
2010-05-15,3.517017,2.531301
2010-05-16,3.608614,2.610894
2010-05-17,3.654204,2.621636
2010-05-18,3.562713,2.500387
2010-05-19,3.574976,2.514243
2010-05-20,3.626157,2.623355
2010-05-21,3.811800,2.679812
2010-05-22,3.952731,2.716402
2010-05-23,4.026582,2.744874
2010-05-24,4.374849,2.714353
2010-05-25,3.924430,2.717504
2010-05-26,4.303836,2.697588
2010-05-27,4.232440,2.700215
2010-05-28,4.085879,2.758589
2010-05-29,4.099754,2.883991
2010-05-30,4.098450,2.848899
2010-05-31,4.032177,2.838525
2010-06-01,4.306889,2.783208
2010-06-02,4.116902,2.812348
2010-06-03,4.045871,2.944047
2010-06-04,4.073483,2.862788
2010-06-05,3.944857,2.960990
2010-06-06,3.989880,2.938302
2010-06-07,4.039635,2.875077
2010-06-08,4.008283,2.866080
2010-06-09,4.009304,2.888255
2010-06-10,4.015095,2.898383
2010-06-11,4.089458,2.971628
2010-06-12,4.083326,3.025149
2010-06-13,4.206379,3.102237
2010-06-14,4.259624,3.070992
2010-06-15,4.194772,3.092712
2010-06-16,4.280001,3.130596
2010-06-17,4.280078,3.217658
2010-06-18,4.302117,3.168013
2010-06-19,4.454115,3.345685
2010-06-20,4.720187,3.429383
2010-06-21,4.703940,3.334645
2010-06-22,4.653051,3.233823
2010-06-23,4.694473,3.084257
2010-06-24,4.774522,3.076841
2010-06-25,4.697911,3.120561
2010-06-26,4.976695,3.123568
2010-06-27,5.104501,3.112933
2010-06-28,4.899318,3.068055
2010-06-29,4.712387,3.012553
2010-06-30,4.808741,3.047850
2010-07-01,4.800104,3.233723
2010-07-02,4.929080,3.086069
2010-07-03,4.967668,3.131440
2010-07-04,4.991306,2.936430
2010-07-05,4.822165,2.997087
2010-07-06,4.827960,3.135363
2010-07-07,4.794349,3.124682
2010-07-08,4.847487,3.111553
2010-07-09,4.817513,3.133197
2010-07-10,4.858773,3.120435
2010-07-11,4.801821,3.076335
2010-07-12,4.697954,3.054234
2010-07-13,4.695873,3.099411
2010-07-14,4.749790,3.064288
2010-07-15,4.800585,3.168129
2010-07-16,4.781782,3.185916
2010-07-17,4.824764,3.171017
2010-07-18,4.843531,3.206151
2010-07-19,4.803751,3.281082
2010-07-20,4.975702,3.285746
2010-07-21,5.035186,3.310568
2010-07-22,5.084643,3.339461
2010-07-23,5.126788,3.300984
2010-07-24,5.153082,3.246014
2010-07-25,5.132405,3.225157
2010-07-26,4.892811,3.155540
2010-07-27,4.731724,3.015324
2010-07-28,5.004600,3.254097
2010-07-29,5.040991,3.336219
2010-07-30,5.081955,3.410802
2010-07-31,5.300218,3.445024
2010-08-01,5.364176,3.449138
2010-08-02,5.558639,3.506211
2010-08-03,5.565995,3.412540
2010-08-04,5.377024,3.388787
2010-08-05,5.446957,3.414438
2010-08-06,5.434671,3.498218
2010-08-07,5.677811,3.573881
2010-08-08,5.789024,3.562785
2010-08-09,5.797897,3.597848
2010-08-10,5.814433,3.520234
2010-08-11,5.962337,3.501683
2010-08-12,5.897189,3.595499
2010-08-13,5.784856,3.620104
2010-08-14,6.011876,3.702984
2010-08-15,6.031000,3.759832
2010-08-16,5.940490,3.576173
2010-08-17,5.818523,3.621351
2010-08-18,5.910317,3.595183
2010-08-19,5.640820,3.659241
2010-08-20,5.920832,3.778951
2010-08-21,5.987469,3.744778
2010-08-22,6.020713,3.763197
2010-08-23,6.098042,3.928064
2010-08-24,6.103338,3.750916
2010-08-25,5.851723,3.789686
2010-08-26,6.015548,3.827195
2010-08-27,6.550509,4.012604
