#
# The Tor Project
#
# URL: https://metrics.torproject.org/platforms.csv?start=2010-01-01&end=2020-01-11
#
date,bsd,linux,macos,other,windows
2010-01-01,66,932,55,66,407
2010-01-02,66,934,58,74,428
2010-01-03,64,947,57,72,447
2010-01-04,67,944,56,77,443
2010-01-05,68,944,57,75,421
2010-01-06,67,937,61,80,431
2010-01-07,67,942,55,74,428
2010-01-08,67,946,53,76,419
2010-01-09,70,950,58,85,444
2010-01-10,71,960,62,87,449
2010-01-11,71,970,64,83,434
2010-01-12,71,955,56,81,424
2010-01-13,68,970,56,84,436
2010-01-14,68,972,58,88,426
2010-01-15,60,913,51,81,397
2010-01-16,66,955,55,84,422
2010-01-17,64,962,61,90,428
2010-01-18,66,959,60,85,421
2010-01-19,67,964,62,86,414
2010-01-20,68,940,58,91,387
2010-01-21,68,959,46,88,408
2010-01-22,68,971,43,93,419
2010-01-23,65,985,42,108,428
2010-01-24,65,973,38,109,413
2010-01-27,71,961,30,97,397
2010-01-28,74,988,28,98,399
2010-01-29,74,984,31,96,406
2010-01-30,74,980,31,98,419
2010-01-31,74,980,32,98,414
2010-02-01,73,985,32,95,395
2010-02-02,70,995,30,102,397
2010-02-03,67,989,34,101,405
2010-02-04,68,998,34,112,410
2010-02-05,71,1012,33,112,408
2010-02-06,73,1005,30,115,423
2010-02-07,73,1001,35,120,431
2010-02-08,71,1007,34,113,406
2010-02-09,68,1008,31,109,404
2010-02-10,68,1019,32,115,421
2010-02-11,69,1014,36,112,411
2010-02-12,70,1024,34,114,403
2010-02-13,70,1025,33,121,432
2010-02-14,71,1029,32,121,439
2010-02-15,72,1020,30,108,416
2010-02-16,71,1019,32,109,408
2010-02-17,69,1029,32,116,411
2010-02-18,70,1016,39,120,419
2010-02-19,74,1015,37,115,411
2010-02-20,76,1031,34,126,412
2010-02-21,78,1033,37,128,416
2010-02-22,75,1027,35,122,406
2010-02-23,72,1035,32,125,401
2010-02-24,74,1018,30,121,414
2010-02-25,73,1014,32,121,405
2010-02-26,72,1008,35,124,400
2010-02-27,77,1020,31,125,426
2010-02-28,77,1021,33,127,423
2010-03-01,72,1008,35,121,391
2010-03-02,71,1020,33,118,399
2010-03-03,73,1021,34,116,403
2010-03-04,75,1032,36,118,401
2010-03-05,73,1032,35,117,400
2010-03-06,71,1019,39,117,422
2010-03-07,71,1018,41,120,427
2010-03-09,63,979,39,110,385
2010-03-10,70,1008,39,107,402
2010-03-11,72,1007,42,102,406
2010-03-12,72,992,42,103,401
2010-03-13,74,1004,42,114,411
2010-03-14,76,1014,45,118,425
2010-03-15,74,1012,44,110,398
2010-03-16,69,1003,46,116,389
2010-03-17,69,995,42,111,397
2010-03-18,71,999,47,107,390
2010-03-19,70,1017,51,106,392
2010-03-20,72,1021,51,117,395
2010-03-21,72,1012,48,120,413
2010-03-22,74,1009,46,112,384
2010-03-23,78,1019,48,109,398
2010-03-24,76,1019,50,114,399
2010-03-25,73,1028,49,110,396
2010-03-26,77,1029,44,109,411
2010-03-27,76,1042,47,116,419
2010-03-28,75,1030,48,122,431
2010-03-29,73,1013,49,110,408
2010-03-30,74,1024,52,120,411
2010-03-31,73,1026,55,119,402
2010-04-01,75,1022,49,117,386
2010-04-02,75,1017,48,115,387
2010-04-03,77,1030,53,125,392
2010-04-04,75,1017,57,117,385
2010-04-05,71,982,57,120,402
2010-04-06,73,1012,54,112,403
2010-04-07,73,1014,52,119,401
2010-04-08,72,1009,55,121,412
2010-04-09,75,1006,53,122,402
2010-04-10,73,1010,53,120,404
2010-04-11,62,890,50,107,385
2010-04-12,61,857,43,97,331
2010-04-13,68,932,42,104,370
2010-04-14,68,917,40,96,361
2010-04-15,66,926,41,111,354
2010-04-16,67,905,39,112,347
2010-04-17,63,904,38,114,342
2010-04-18,65,907,39,117,352
2010-04-19,54,872,36,109,324
2010-04-20,53,865,37,108,314
2010-04-21,55,889,36,110,313
2010-04-22,59,886,38,108,312
2010-04-23,61,874,37,112,305
2010-04-24,61,887,36,117,314
2010-04-25,60,887,39,113,311
2010-04-26,59,889,34,103,303
2010-04-27,58,895,37,107,303
2010-04-28,59,893,36,106,295
2010-04-29,60,896,40,108,297
2010-04-30,62,887,42,112,295
2010-05-02,64,881,38,125,321
2010-05-03,63,873,37,113,305
2010-05-04,63,881,31,103,293
2010-05-05,65,901,35,110,307
2010-05-06,69,928,37,111,332
2010-05-07,69,943,37,111,336
2010-05-08,69,958,45,118,355
2010-05-09,70,964,42,125,371
2010-05-10,68,958,41,117,357
2010-05-11,65,965,43,112,354
2010-05-12,64,970,43,121,354
2010-05-13,64,973,42,124,370
2010-05-14,67,972,47,126,358
2010-05-15,68,976,47,128,366
2010-05-16,65,972,43,130,373
2010-05-17,66,984,41,126,358
2010-05-18,66,990,43,132,366
2010-05-19,66,988,46,129,361
2010-05-20,68,995,46,128,359
2010-05-21,68,1002,45,131,365
2010-05-22,67,1006,46,140,373
2010-05-23,65,1011,47,141,375
2010-05-24,64,1015,48,144,382
2010-05-25,64,1009,46,151,377
2010-05-26,65,1006,44,148,384
2010-05-27,65,1009,48,149,388
2010-05-28,65,999,51,146,386
2010-05-29,66,995,53,155,400
2010-05-30,67,996,54,166,411
2010-05-31,65,990,54,158,410
2010-06-01,66,997,54,153,399
2010-06-02,67,1006,52,153,406
2010-06-03,70,1016,46,153,416
2010-06-04,71,1021,45,143,401
2010-06-05,71,1006,48,148,406
2010-06-06,71,1006,50,151,410
2010-06-07,68,1013,52,145,399
2010-06-08,67,1021,46,143,388
2010-06-09,66,1016,50,149,398
2010-06-10,67,1023,47,143,381
2010-06-11,68,1033,50,132,380
2010-06-12,67,1030,51,133,391
2010-06-13,67,1023,51,149,413
2010-06-14,68,1025,49,142,392
2010-06-15,68,1035,47,141,393
2010-06-16,68,1031,52,136,403
2010-06-17,69,1028,52,133,393
2010-06-18,69,1037,50,137,385
2010-06-19,67,1034,50,147,416
2010-06-20,67,1039,54,152,421
2010-06-21,69,1025,51,148,397
2010-06-22,71,1040,54,145,381
2010-06-23,72,1049,60,148,385
2010-06-24,71,1062,56,149,392
2010-06-25,71,1067,57,153,391
2010-06-26,69,1374,54,166,400
2010-06-27,70,1666,50,154,402
2010-06-28,70,1319,49,153,393
2010-06-29,70,1069,40,151,396
2010-06-30,68,1056,41,154,397
2010-07-01,66,1058,42,160,389
2010-07-02,67,1070,42,158,389
2010-07-03,66,1082,45,165,385
2010-07-04,67,1082,45,164,390
2010-07-05,65,1072,43,158,385
2010-07-06,70,1070,40,159,379
2010-07-07,70,1071,42,160,373
2010-07-08,72,1063,44,158,380
2010-07-09,72,1062,46,151,374
2010-07-10,70,1058,47,151,380
2010-07-11,72,1044,51,159,377
2010-07-12,75,1042,54,161,377
2010-07-13,75,1041,50,157,378
2010-07-14,74,1046,49,159,387
2010-07-15,77,1038,52,157,383
2010-07-16,75,1035,52,149,381
2010-07-17,72,1058,51,152,377
2010-07-18,72,1054,53,166,385
2010-07-19,72,1062,48,160,381
2010-07-20,71,1078,52,164,374
2010-07-21,67,1091,52,160,393
2010-07-22,70,1088,51,161,373
2010-07-23,73,1092,51,152,374
2010-07-24,73,1094,57,153,389
2010-07-25,73,1097,54,159,391
2010-07-26,73,1112,51,158,386
2010-07-27,73,1111,52,142,374
2010-07-28,74,1121,50,155,365
2010-07-29,73,1124,49,153,366
2010-07-30,73,1113,51,146,376
2010-07-31,72,1123,53,157,386
2010-08-01,72,1134,58,153,389
2010-08-02,70,1145,54,161,384
2010-08-03,71,1142,56,150,380
2010-08-04,70,1137,57,147,380
2010-08-05,71,1147,55,148,395
2010-08-06,74,1142,55,150,406
2010-08-07,74,1149,57,159,404
2010-08-08,76,1155,63,162,402
2010-08-09,79,1153,54,150,404
2010-08-10,77,1147,53,152,396
2010-08-11,78,1152,55,152,394
2010-08-12,79,1150,54,155,384
2010-08-13,79,1140,51,155,388
2010-08-14,79,1132,54,169,404
2010-08-15,78,1150,52,183,406
2010-08-16,79,1160,53,182,393
2010-08-17,80,1160,54,183,406
2010-08-18,79,1164,59,179,395
2010-08-19,80,1161,58,173,397
2010-08-20,81,1169,64,175,400
2010-08-21,82,1174,59,173,395
2010-08-22,80,1179,60,183,407
2010-08-23,80,1183,61,185,405
2010-08-24,81,1185,61,178,403
2010-08-25,81,1178,59,162,403
2010-08-26,82,1205,53,170,392
2010-08-27,82,1212,51,174,404
2010-08-28,80,1228,56,179,409
2010-08-29,80,1218,63,186,402
2010-08-30,83,1225,58,178,401
2010-08-31,84,1227,61,186,412
2010-09-01,82,1237,62,185,409
2010-09-02,82,1214,57,177,401
2010-09-03,83,1224,56,180,403
2010-09-04,84,1220,59,187,413
2010-09-05,84,1232,60,193,413
2010-09-06,86,1235,59,187,407
2010-09-07,87,1237,59,191,414
2010-09-08,88,1227,60,187,412
2010-09-09,91,1220,57,191,419
2010-09-10,92,1201,56,188,422
2010-09-11,88,1239,57,204,436
2010-09-12,89,1233,60,205,435
2010-09-13,90,1236,60,185,418
2010-09-14,87,1238,57,181,417
2010-09-15,88,1228,64,176,416
2010-09-16,88,1222,56,168,405
2010-09-17,89,1224,58,169,417
2010-09-18,91,1245,55,176,439
2010-09-19,90,1252,61,176,439
2010-09-20,88,1253,60,163,420
2010-09-21,89,1254,57,162,421
2010-09-22,88,1234,61,164,425
2010-09-23,90,1246,62,162,456
2010-09-24,90,1220,64,173,459
2010-09-25,91,1218,59,174,460
2010-09-26,89,1244,61,181,465
2010-09-27,92,1239,56,166,456
2010-09-28,91,1239,55,161,438
2010-09-29,92,1244,60,155,440
2010-09-30,93,1233,59,153,433
2010-10-01,93,1229,64,151,424
2010-10-02,89,1228,62,172,475
2010-10-03,89,1222,65,177,593
2010-10-04,84,1217,56,158,476
2010-10-05,86,1211,52,157,459
2010-10-06,85,1226,60,161,463
2010-10-07,85,1236,58,161,469
2010-10-08,85,1227,59,166,471
2010-10-09,82,1235,62,178,503
2010-10-10,82,1232,62,166,499
2010-10-11,83,1228,61,157,470
2010-10-12,81,1238,66,160,461
2010-10-13,80,1229,60,164,456
2010-10-14,80,1228,59,157,455
2010-10-15,81,1229,59,157,462
2010-10-16,80,1238,55,171,482
2010-10-17,79,1235,65,175,502
2010-10-18,81,1229,64,161,466
2010-10-19,81,1230,66,161,476
2010-10-20,81,1217,62,168,476
2010-10-21,83,1217,57,160,470
2010-10-22,82,1201,56,157,474
2010-10-23,81,1185,57,166,464
2010-10-24,83,1213,60,155,442
2010-10-25,83,1208,56,150,427
2010-10-26,83,1202,54,154,418
2010-10-27,83,1199,53,152,425
2010-10-28,83,1208,50,151,426
2010-10-29,85,1203,50,149,421
2010-10-30,82,1196,54,156,426
