#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-bridge-country.csv?country=ir
#
date,country,users,frac
2011-09-20,ir,432,10
2011-09-21,ir,482,12
2011-09-22,ir,376,12
2011-09-23,ir,332,11
2011-09-24,ir,369,12
2011-09-25,ir,502,11
2011-09-26,ir,482,12
2011-09-27,ir,424,13
2011-09-29,ir,505,11
2011-09-30,ir,458,14
2011-10-01,ir,509,13
2011-10-02,ir,450,13
2011-10-03,ir,433,14
2011-10-04,ir,453,14
2011-10-05,ir,423,12
2011-10-06,ir,396,14
2011-10-07,ir,432,14
2011-10-08,ir,481,14
2011-10-09,ir,472,14
2011-10-10,ir,429,14
2011-10-11,ir,395,14
2011-10-12,ir,419,13
2011-10-13,ir,391,12
2011-10-14,ir,458,12
2011-10-15,ir,396,13
2011-10-16,ir,334,13
2011-10-17,ir,340,13
2011-10-18,ir,348,13
2011-10-19,ir,408,13
2011-10-20,ir,422,12
2011-10-21,ir,341,12
2011-10-22,ir,365,13
2011-10-23,ir,449,13
2011-10-24,ir,459,13
2011-10-25,ir,419,14
2011-10-26,ir,434,13
2011-10-27,ir,457,11
2011-10-28,ir,433,15
2011-10-29,ir,449,31
2011-10-30,ir,772,22
2011-11-02,ir,543,37
2011-11-03,ir,515,39
2011-11-04,ir,629,32
2011-11-05,ir,682,32
2011-11-06,ir,709,35
2011-11-07,ir,660,35
2011-11-08,ir,674,35
2011-11-09,ir,759,37
2011-11-10,ir,649,37
2011-11-11,ir,609,36
2011-11-12,ir,655,36
2011-11-13,ir,706,36
2011-11-14,ir,711,37
2011-11-15,ir,627,38
2011-11-16,ir,676,38
2011-11-17,ir,671,40
2011-11-18,ir,669,39
2011-11-19,ir,677,38
2011-11-20,ir,668,39
2011-11-21,ir,654,41
2011-11-22,ir,803,40
2011-11-23,ir,791,39
2011-11-24,ir,1676,31
2011-11-25,ir,1492,45
2011-11-26,ir,685,45
2011-11-27,ir,679,43
2011-11-28,ir,636,44
2011-11-29,ir,767,45
2011-11-30,ir,932,44
2011-12-01,ir,926,42
2011-12-02,ir,910,42
2011-12-03,ir,972,40
2011-12-04,ir,879,42
2011-12-05,ir,733,44
2011-12-06,ir,813,43
2011-12-07,ir,902,43
2011-12-08,ir,916,43
2011-12-09,ir,963,42
2011-12-10,ir,948,41
2011-12-11,ir,775,46
2011-12-12,ir,868,44
2011-12-13,ir,848,44
2011-12-14,ir,862,45
2011-12-15,ir,942,41
2011-12-16,ir,1017,38
2011-12-17,ir,1024,40
2011-12-18,ir,847,43
2011-12-19,ir,707,44
2011-12-20,ir,787,46
2011-12-21,ir,765,44
2011-12-22,ir,755,47
2011-12-23,ir,802,48
2011-12-24,ir,836,47
2011-12-25,ir,774,47
2011-12-26,ir,349,93
2011-12-27,ir,333,94
2011-12-28,ir,731,48
2011-12-29,ir,725,50
2011-12-30,ir,770,49
2011-12-31,ir,918,49
2012-01-01,ir,948,50
2012-01-02,ir,834,50
2012-01-03,ir,817,50
2012-01-04,ir,838,51
2012-01-05,ir,855,49
2012-01-06,ir,903,47
2012-01-07,ir,1525,35
2012-01-08,ir,2305,48
2012-01-09,ir,1555,52
2012-01-10,ir,1526,60
2012-01-11,ir,742,54
2012-01-12,ir,801,47
2012-01-13,ir,838,48
2012-01-14,ir,812,46
2012-01-15,ir,761,48
2012-01-16,ir,802,49
2012-01-17,ir,807,47
2012-01-18,ir,841,47
2012-01-19,ir,881,45
2012-01-20,ir,954,45
2012-01-21,ir,961,44
2012-01-22,ir,905,44
2012-01-23,ir,800,43
2012-01-24,ir,835,43
2012-01-25,ir,855,46
2012-01-26,ir,932,45
2012-01-27,ir,925,45
2012-01-28,ir,963,42
2012-01-29,ir,836,46
2012-01-30,ir,796,50
2012-01-31,ir,796,51
2012-02-01,ir,856,52
2012-02-02,ir,856,50
2012-02-03,ir,792,47
2012-02-04,ir,852,45
2012-02-05,ir,784,48
2012-02-06,ir,715,51
2012-02-07,ir,693,52
2012-02-08,ir,750,52
2012-02-09,ir,319,47
2012-02-10,ir,79,43
2012-02-11,ir,300,54
2012-02-12,ir,793,56
2012-02-13,ir,912,49
2012-02-14,ir,827,59
2012-02-15,ir,801,58
2012-02-16,ir,733,55
2012-02-17,ir,670,57
2012-02-18,ir,656,57
2012-02-19,ir,659,57
2012-02-20,ir,630,66
2012-02-21,ir,632,69
