#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-relay-country.csv?start=2018-01-01&end=2018-09-01&country=ml&events=off
#
date,country,users,lower,upper,frac
2018-01-01,ml,110,26,201,83
2018-01-02,ml,133,43,223,82
2018-01-03,ml,133,54,206,82
2018-01-04,ml,127,55,228,82
2018-01-05,ml,123,55,219,86
2018-01-06,ml,108,46,196,83
2018-01-07,ml,105,13,245,83
2018-01-08,ml,119,17,270,83
2018-01-09,ml,124,37,261,85
2018-01-10,ml,131,58,230,82
2018-01-11,ml,136,58,216,81
2018-01-12,ml,132,59,217,84
2018-01-13,ml,116,50,195,83
2018-01-14,ml,112,44,211,82
2018-01-15,ml,133,52,232,81
2018-01-16,ml,125,65,217,80
2018-01-17,ml,124,64,220,82
2018-01-18,ml,120,42,249,83
2018-01-19,ml,127,63,251,78
2018-01-20,ml,122,61,205,78
2018-01-21,ml,98,49,187,83
2018-01-22,ml,112,68,205,83
2018-01-23,ml,132,59,230,82
2018-01-24,ml,138,64,225,80
2018-01-25,ml,145,62,232,78
2018-01-26,ml,133,47,250,77
2018-01-27,ml,113,62,197,79
2018-01-28,ml,120,54,189,75
2018-01-29,ml,133,54,228,77
2018-01-30,ml,137,60,247,78
2018-01-31,ml,130,70,226,80
2018-02-01,ml,129,81,231,78
2018-02-02,ml,121,70,224,80
2018-02-03,ml,105,54,193,81
2018-02-04,ml,98,49,179,86
2018-02-05,ml,109,57,208,90
2018-02-06,ml,127,75,211,83
2018-02-07,ml,123,73,212,81
2018-02-08,ml,119,61,195,85
2018-02-09,ml,126,53,199,82
2018-02-10,ml,107,49,173,83
2018-02-11,ml,99,38,192,86
2018-02-12,ml,113,46,202,85
2018-02-13,ml,126,56,202,86
2018-02-14,ml,131,55,201,84
2018-02-15,ml,130,50,226,83
2018-02-16,ml,117,42,229,84
2018-02-17,ml,108,35,210,82
2018-02-18,ml,107,33,197,82
2018-02-19,ml,131,44,219,83
2018-02-20,ml,126,59,222,86
2018-02-21,ml,128,53,245,84
2018-02-22,ml,122,51,227,83
2018-02-23,ml,111,48,223,83
2018-02-24,ml,102,51,185,85
2018-02-25,ml,97,53,174,84
2018-02-26,ml,110,64,226,75
2018-02-27,ml,132,63,215,61
2018-03-01,ml,112,57,199,86
2018-03-02,ml,121,48,189,82
2018-03-03,ml,98,42,186,81
2018-03-04,ml,90,46,161,85
2018-03-05,ml,110,47,198,79
2018-03-06,ml,115,64,239,83
2018-03-07,ml,106,,,90
2018-03-08,ml,103,46,219,90
2018-03-09,ml,103,60,206,89
2018-03-10,ml,88,43,177,89
2018-03-11,ml,87,41,167,88
2018-03-12,ml,101,49,186,92
2018-03-13,ml,107,55,180,93
2018-03-14,ml,104,46,184,91
2018-03-15,ml,108,45,179,93
2018-03-16,ml,110,48,171,93
2018-03-17,ml,103,36,166,92
2018-03-18,ml,99,40,155,93
2018-03-19,ml,111,43,192,92
2018-03-20,ml,125,45,201,94
2018-03-21,ml,121,51,180,95
2018-03-22,ml,116,48,197,95
2018-03-23,ml,110,59,177,96
2018-03-24,ml,100,49,174,95
2018-03-25,ml,101,49,163,95
2018-03-26,ml,97,55,182,95
2018-03-27,ml,109,69,196,96
2018-03-28,ml,116,62,205,95
2018-03-29,ml,123,51,205,93
2018-03-30,ml,113,50,184,96
2018-03-31,ml,97,45,164,96
2018-04-01,ml,95,50,167,94
2018-04-02,ml,94,47,170,95
2018-04-03,ml,110,52,196,95
2018-04-04,ml,117,48,212,93
2018-04-05,ml,109,44,249,94
2018-04-06,ml,115,34,253,93
2018-04-07,ml,100,40,194,93
2018-04-08,ml,97,40,184,94
2018-04-09,ml,108,42,172,94
2018-04-10,ml,108,55,191,95
2018-04-11,ml,108,60,195,95
2018-04-12,ml,108,63,167,94
2018-04-13,ml,104,53,197,96
2018-04-14,ml,112,42,187,94
2018-04-15,ml,100,49,166,94
2018-04-16,ml,105,41,220,94
2018-04-17,ml,100,55,189,94
2018-04-18,ml,93,56,183,95
2018-04-19,ml,102,46,206,94
2018-04-20,ml,130,41,217,94
2018-04-21,ml,109,52,203,94
2018-04-22,ml,96,43,177,95
2018-04-23,ml,124,42,203,95
2018-04-24,ml,151,41,191,93
2018-04-25,ml,149,43,174,94
2018-04-26,ml,143,51,180,94
2018-04-27,ml,136,67,216,96
2018-04-28,ml,103,52,184,95
2018-04-29,ml,98,45,166,96
2018-04-30,ml,110,61,202,96
2018-05-01,ml,102,64,257,94
2018-05-02,ml,123,75,255,93
2018-05-03,ml,119,68,242,94
2018-05-04,ml,108,67,234,95
2018-05-05,ml,99,45,192,94
2018-05-06,ml,97,44,184,95
2018-05-07,ml,107,45,219,94
2018-05-08,ml,112,37,217,94
2018-05-09,ml,141,55,222,92
2018-05-10,ml,142,58,205,94
2018-05-11,ml,116,50,195,95
2018-05-12,ml,93,37,198,96
2018-05-13,ml,85,44,176,96
2018-05-14,ml,113,49,191,97
2018-05-15,ml,119,57,188,96
2018-05-16,ml,135,66,248,95
2018-05-17,ml,135,74,242,95
2018-05-18,ml,111,51,217,96
2018-05-19,ml,102,43,172,96
2018-05-20,ml,94,38,157,95
2018-05-21,ml,137,58,198,96
2018-05-22,ml,137,59,208,93
2018-05-23,ml,136,61,249,91
2018-05-24,ml,126,63,235,93
2018-05-25,ml,101,52,190,94
2018-05-26,ml,102,45,182,97
2018-05-27,ml,99,46,157,97
2018-05-28,ml,108,67,229,96
2018-05-29,ml,118,72,221,97
2018-05-30,ml,120,64,222,98
2018-05-31,ml,128,52,211,97
2018-06-01,ml,141,39,180,98
2018-06-02,ml,140,53,175,96
2018-06-03,ml,116,51,169,96
2018-06-04,ml,129,45,210,95
2018-06-05,ml,138,51,222,96
2018-06-06,ml,128,58,216,97
2018-06-07,ml,121,62,249,98
2018-06-08,ml,104,74,254,98
2018-06-09,ml,90,68,240,97
2018-06-10,ml,90,49,207,95
2018-06-11,ml,94,49,241,95
2018-06-12,ml,107,50,270,94
2018-06-13,ml,112,54,234,91
2018-06-14,ml,85,54,214,94
2018-06-15,ml,90,41,185,95
2018-06-16,ml,93,30,169,95
2018-06-17,ml,99,26,172,96
2018-06-18,ml,144,34,177,92
2018-06-19,ml,146,45,189,95
2018-06-20,ml,156,50,194,95
2018-06-21,ml,147,35,154,97
2018-06-22,ml,139,40,165,96
2018-06-23,ml,115,41,183,94
2018-06-24,ml,114,40,207,93
2018-06-25,ml,134,70,258,96
2018-06-26,ml,136,72,243,98
2018-06-27,ml,132,79,260,97
2018-06-28,ml,145,79,248,98
2018-06-29,ml,143,68,236,98
2018-06-30,ml,109,50,203,99
2018-07-01,ml,101,45,214,98
2018-07-02,ml,130,54,264,97
2018-07-03,ml,125,67,250,96
2018-07-04,ml,133,72,236,95
2018-07-05,ml,122,79,250,96
2018-07-06,ml,136,80,240,97
2018-07-07,ml,109,53,197,95
2018-07-08,ml,117,46,184,95
2018-07-09,ml,142,64,210,95
2018-07-10,ml,134,61,208,92
2018-07-11,ml,121,62,220,93
2018-07-12,ml,124,54,203,96
2018-07-13,ml,133,52,254,93
2018-07-14,ml,110,51,186,93
2018-07-15,ml,99,57,198,94
2018-07-16,ml,127,69,246,96
2018-07-17,ml,118,68,229,96
2018-07-18,ml,136,55,224,96
2018-07-19,ml,117,65,217,97
2018-07-20,ml,112,67,227,96
2018-07-21,ml,99,53,190,96
2018-07-22,ml,92,48,167,95
2018-07-23,ml,95,64,221,95
2018-07-24,ml,112,62,195,95
2018-07-25,ml,106,64,230,97
2018-07-26,ml,111,58,190,98
2018-07-27,ml,113,59,178,98
2018-07-28,ml,103,49,165,97
2018-07-29,ml,142,45,149,97
2018-07-30,ml,217,47,147,99
2018-07-31,ml,263,55,181,99
2018-08-01,ml,308,50,183,97
2018-08-02,ml,336,51,197,96
2018-08-03,ml,333,53,212,96
2018-08-04,ml,278,47,189,96
2018-08-05,ml,243,81,229,97
2018-08-06,ml,236,127,346,96
2018-08-07,ml,227,164,418,95
2018-08-08,ml,234,173,499,97
2018-08-09,ml,213,209,504,97
2018-08-10,ml,211,189,519,97
2018-08-11,ml,242,162,426,97
2018-08-12,ml,281,148,360,96
2018-08-13,ml,313,128,370,97
2018-08-14,ml,319,117,361,98
2018-08-15,ml,313,118,376,96
2018-08-16,ml,271,115,337,96
2018-08-17,ml,269,124,328,97
2018-08-18,ml,240,134,382,98
2018-08-19,ml,218,156,439,97
2018-08-20,ml,214,166,522,96
2018-08-21,ml,191,154,548,97
2018-08-22,ml,184,136,565,98
2018-08-23,ml,195,159,430,98
2018-08-24,ml,217,159,413,97
2018-08-25,ml,204,112,423,96
2018-08-26,ml,191,116,361,96
2018-08-27,ml,210,124,341,95
2018-08-28,ml,208,106,309,98
2018-08-29,ml,209,101,296,98
2018-08-30,ml,192,104,309,99
2018-08-31,ml,191,132,317,100
2018-09-01,ml,174,116,324,98
