#
# The Tor Project
#
# URL: https://metrics.torproject.org/networksize.csv?start=2010-01-01&end=2019-11-27
#
date,relays,bridges
2010-01-01,1528,365
2010-01-02,1561,344
2010-01-03,1590,381
2010-01-04,1588,317
2010-01-05,1567,397
2010-01-06,1577,418
2010-01-07,1567,410
2010-01-08,1563,392
2010-01-09,1608,371
2010-01-10,1630,424
2010-01-11,1624,403
2010-01-12,1588,353
2010-01-13,1615,435
2010-01-14,1614,413
2010-01-15,1504,413
2010-01-16,1584,430
2010-01-17,1606,445
2010-01-18,1594,408
2010-01-19,1596,447
2010-01-20,1546,451
2010-01-21,1571,432
2010-01-22,1596,443
2010-01-23,1630,452
2010-01-24,1584,449
2010-01-25,682,386
2010-01-26,1113,439
2010-01-27,1558,457
2010-01-28,1589,459
2010-01-29,1594,453
2010-01-30,1604,456
2010-01-31,1600,478
2010-02-01,1583,464
2010-02-02,1596,472
2010-02-03,1599,468
2010-02-04,1623,464
2010-02-05,1638,467
2010-02-06,1648,471
2010-02-07,1662,470
2010-02-08,1632,479
2010-02-09,1622,478
2010-02-10,1656,481
2010-02-11,1644,492
2010-02-12,1646,500
2010-02-13,1683,502
2010-02-14,1695,503
2010-02-15,1648,501
2010-02-16,1641,499
2010-02-17,1659,510
2010-02-18,1666,499
2010-02-19,1655,499
2010-02-20,1680,497
2010-02-21,1694,501
2010-02-22,1667,501
2010-02-23,1667,500
2010-02-24,1659,497
2010-02-25,1647,501
2010-02-26,1641,504
2010-02-27,1681,507
2010-02-28,1683,496
2010-03-01,1628,487
2010-03-02,1643,490
2010-03-03,1649,487
2010-03-04,1664,487
2010-03-05,1660,473
2010-03-06,1670,482
2010-03-07,1680,478
2010-03-08,1450,476
2010-03-09,1577,461
2010-03-10,1628,468
2010-03-11,1630,306
2010-03-12,1612,485
2010-03-13,1647,482
2010-03-14,1679,489
2010-03-15,1639,475
2010-03-16,1626,464
2010-03-17,1616,435
2010-03-18,1616,462
2010-03-19,1636,468
2010-03-20,1658,473
2010-03-21,1667,490
2010-03-22,1632,471
2010-03-23,1653,475
2010-03-24,1660,472
2010-03-25,1658,476
2010-03-26,1672,477
2010-03-27,1702,484
2010-03-28,1707,488
2010-03-29,1655,485
2010-03-30,1684,486
2010-03-31,1676,473
2010-04-01,1650,472
2010-04-02,1644,487
2010-04-03,1679,486
2010-04-04,1653,477
2010-04-05,1633,478
2010-04-06,1657,476
2010-04-07,1662,482
2010-04-08,1671,488
2010-04-09,1661,483
2010-04-10,1661,493
2010-04-11,1494,497
2010-04-12,1391,482
2010-04-13,1519,480
2010-04-14,1484,479
2010-04-15,1500,478
2010-04-16,1471,477
2010-04-17,1464,493
2010-04-18,1482,494
2010-04-19,1398,486
2010-04-20,1380,433
2010-04-21,1405,489
2010-04-22,1405,481
2010-04-23,1390,487
2010-04-24,1417,506
2010-04-25,1413,503
2010-04-26,1390,483
2010-04-27,1401,481
2010-04-28,1391,480
2010-04-29,1403,488
2010-04-30,1400,489
2010-05-01,1410,481
2010-05-02,1431,486
2010-05-03,1393,477
2010-05-04,1374,480
2010-05-05,1420,484
2010-05-06,1479,477
2010-05-07,1498,482
2010-05-08,1547,484
2010-05-09,1574,483
2010-05-10,1542,477
2010-05-11,1541,480
2010-05-12,1554,473
2010-05-13,1576,469
2010-05-14,1572,470
2010-05-15,1586,483
2010-05-16,1585,488
2010-05-17,1578,477
2010-05-18,1600,484
2010-05-19,1592,477
2010-05-20,1598,483
2010-05-21,1613,484
2010-05-22,1634,490
2010-05-23,1642,493
2010-05-24,1655,484
2010-05-25,1650,484
2010-05-26,1648,472
2010-05-27,1660,469
2010-05-28,1648,477
2010-05-29,1671,493
2010-05-30,1696,496
2010-05-31,1679,482
2010-06-01,1671,483
2010-06-02,1687,471
2010-06-03,1702,470
2010-06-04,1684,464
2010-06-05,1682,472
2010-06-06,1691,472
2010-06-07,1680,465
2010-06-08,1667,480
2010-06-09,1681,465
2010-06-10,1663,470
2010-06-11,1666,475
2010-06-12,1675,485
2010-06-13,1705,491
2010-06-14,1678,474
2010-06-15,1686,469
2010-06-16,1692,475
2010-06-17,1677,467
2010-06-18,1681,480
2010-06-19,1716,481
2010-06-20,1733,491
2010-06-21,1691,485
2010-06-22,1692,487
2010-06-23,1716,478
2010-06-24,1731,480
2010-06-25,1740,489
2010-06-26,2064,493
2010-06-27,2344,496
2010-06-28,1985,494
2010-06-29,1726,492
2010-06-30,1718,487
2010-07-01,1715,475
2010-07-02,1728,487
2010-07-03,1745,479
2010-07-04,1750,486
2010-07-05,1724,472
2010-07-06,1720,491
2010-07-07,1718,481
2010-07-08,1719,490
2010-07-09,1706,484
2010-07-10,1708,491
2010-07-11,1706,496
2010-07-12,1711,468
2010-07-13,1703,462
2010-07-14,1716,449
2010-07-15,1709,
2010-07-16,1693,
2010-07-17,1713,
2010-07-18,1732,
2010-07-19,1725,
2010-07-20,1742,
2010-07-21,1765,
2010-07-22,1744,
2010-07-23,1743,
2010-07-24,1768,
2010-07-25,1777,
2010-07-26,1783,
2010-07-27,1754,493
2010-07-28,1767,472
2010-07-29,1767,469
2010-07-30,1761,454
2010-07-31,1793,429
2010-08-01,1808,480
2010-08-02,1816,476
2010-08-03,1801,468
2010-08-04,1794,471
2010-08-05,1818,469
2010-08-06,1828,469
2010-08-07,1845,474
2010-08-08,1860,475
2010-08-09,1842,475
2010-08-10,1827,477
2010-08-11,1832,478
2010-08-12,1824,474
2010-08-13,1815,478
2010-08-14,1840,488
2010-08-15,1871,484
2010-08-16,1868,486
2010-08-17,1885,475
2010-08-18,1878,483
2010-08-19,1871,493
2010-08-20,1890,473
2010-08-21,1884,487
2010-08-22,1911,491
2010-08-23,1916,485
2010-08-24,1910,489
2010-08-25,1886,487
2010-08-26,1903,497
2010-08-27,1925,483
2010-08-28,1954,509
2010-08-29,1951,504
2010-08-30,1946,494
2010-08-31,1971,494
2010-09-01,1977,481
2010-09-02,1933,486
2010-09-03,1947,498
2010-09-04,1965,505
2010-09-05,1983,503
2010-09-06,1977,495
2010-09-07,1990,489
2010-09-08,1977,489
2010-09-09,1979,489
2010-09-10,1962,498
2010-09-11,2026,501
2010-09-12,2023,512
2010-09-13,1990,490
2010-09-14,1982,487
2010-09-15,1974,478
2010-09-16,1940,482
2010-09-17,1960,497
2010-09-18,2008,495
2010-09-19,2020,503
2010-09-20,1986,506
2010-09-21,1985,496
