#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-relay-country.csv?start=2018-05-01&end=2019-11-25&country=ve&events=off
#
date,country,users,lower,upper,frac
2018-05-01,ve,23063,14924,33900,94
2018-05-02,ve,27830,18143,34939,93
2018-05-03,ve,31086,17832,34890,94
2018-05-04,ve,32131,17070,32737,95
2018-05-05,ve,29442,13973,29291,94
2018-05-06,ve,25674,13392,27041,95
2018-05-07,ve,32169,13945,34179,94
2018-05-08,ve,37181,12460,36183,94
2018-05-09,ve,32608,17858,38155,92
2018-05-10,ve,29243,21800,40207,94
2018-05-11,ve,28625,22140,43055,95
2018-05-12,ve,30304,16982,43281,96
2018-05-13,ve,25738,17582,34085,96
2018-05-14,ve,29865,21789,42554,97
2018-05-15,ve,32177,27827,46756,96
2018-05-16,ve,31816,21446,44205,95
2018-05-17,ve,34331,21316,38546,95
2018-05-18,ve,36723,18622,40230,96
2018-05-19,ve,30523,21795,40667,96
2018-05-20,ve,26205,18477,34271,95
2018-05-21,ve,30441,22454,39057,96
2018-05-22,ve,32317,23040,42371,93
2018-05-23,ve,31355,20344,45004,91
2018-05-24,ve,32793,22628,45855,93
2018-05-25,ve,33960,25523,46838,94
2018-05-26,ve,31928,20137,40127,97
2018-05-27,ve,26332,19948,31923,97
2018-05-28,ve,30314,21093,38935,96
2018-05-29,ve,32779,23817,39848,97
2018-05-30,ve,32617,20958,39302,98
2018-05-31,ve,34690,19571,41615,97
2018-06-01,ve,36594,20116,44772,98
2018-06-02,ve,31532,24824,40319,96
2018-06-03,ve,28966,20705,33166,96
2018-06-04,ve,32466,18600,43668,95
2018-06-05,ve,33702,20494,46595,96
2018-06-06,ve,28899,23000,44287,97
2018-06-07,ve,26434,24080,51286,98
2018-06-08,ve,25524,26867,50843,98
2018-06-09,ve,23874,21448,41575,97
2018-06-10,ve,20455,18112,38880,95
2018-06-11,ve,23030,17635,46225,95
2018-06-12,ve,21201,17038,50511,94
2018-06-13,ve,20752,17351,40292,91
2018-06-14,ve,21674,17162,35394,94
2018-06-15,ve,20105,15196,33709,95
2018-06-16,ve,17995,12592,32720,95
2018-06-17,ve,16468,9331,28516,96
2018-06-18,ve,16808,12867,31743,92
2018-06-19,ve,16335,13107,27887,95
2018-06-20,ve,12580,13493,27083,95
2018-06-21,ve,38491,14035,28446,97
2018-06-22,ve,41625,14066,26876,96
2018-06-23,ve,14801,12209,25842,94
2018-06-24,ve,6595,10210,25501,93
2018-06-25,ve,8909,11347,23413,96
2018-06-26,ve,14184,11169,21178,98
2018-06-27,ve,13565,8672,16495,97
2018-06-28,ve,13177,28966,50175,98
2018-06-29,ve,12791,28996,54200,98
2018-06-30,ve,12215,9335,19739,99
2018-07-01,ve,11588,3725,9493,98
2018-07-02,ve,12166,4979,13681,97
2018-07-03,ve,13148,9807,20248,96
2018-07-04,ve,14086,10511,18718,95
2018-07-05,ve,12953,9996,17750,96
2018-07-06,ve,13947,9918,16696,97
2018-07-07,ve,11847,8724,16606,95
2018-07-08,ve,10793,7852,15823,95
2018-07-09,ve,10810,8388,15252,95
2018-07-10,ve,15026,9104,16740,92
2018-07-11,ve,12138,9207,18002,93
2018-07-12,ve,9402,8195,16463,96
2018-07-13,ve,6707,7418,20244,93
2018-07-14,ve,8898,8213,15262,93
2018-07-15,ve,7667,7569,13954,94
2018-07-16,ve,10108,7194,14656,96
2018-07-17,ve,9813,10786,19861,96
2018-07-18,ve,9312,7952,17187,96
2018-07-19,ve,11568,6987,12689,97
2018-07-20,ve,10323,4711,8958,96
2018-07-21,ve,8221,6207,11677,96
2018-07-22,ve,8459,5564,9686,95
2018-07-23,ve,9292,7250,13568,95
2018-07-24,ve,9791,7408,12449,95
2018-07-25,ve,10917,6094,12308,97
2018-07-26,ve,11059,8277,14332,98
2018-07-27,ve,10811,7888,12510,98
2018-07-28,ve,9554,6101,10273,97
2018-07-29,ve,10620,6264,10148,97
2018-07-30,ve,11855,6922,10726,99
2018-07-31,ve,14198,6948,12083,99
2018-08-01,ve,14703,7669,14197,97
2018-08-02,ve,13943,7479,14861,96
2018-08-03,ve,13796,7326,15384,96
2018-08-04,ve,11982,6572,13179,96
2018-08-05,ve,11168,8362,13448,97
2018-08-06,ve,11353,8872,15486,96
2018-08-07,ve,13741,11014,18835,95
2018-08-08,ve,14163,10086,20185,97
2018-08-09,ve,13552,10499,17886,97
2018-08-10,ve,13160,9470,18336,97
2018-08-11,ve,11613,8634,15435,97
2018-08-12,ve,10566,8547,13766,96
2018-08-13,ve,12442,7796,14763,97
2018-08-14,ve,13895,9039,17977,98
2018-08-15,ve,12841,9053,18759,96
2018-08-16,ve,11357,9446,17535,96
2018-08-17,ve,14084,9967,16722,97
2018-08-18,ve,13393,8133,15214,98
2018-08-19,ve,11751,7218,13934,97
2018-08-20,ve,12228,8024,17636,96
2018-08-21,ve,13100,8147,20258,97
2018-08-22,ve,16230,6800,19683,98
2018-08-23,ve,15852,8229,15166,98
2018-08-24,ve,18500,10359,18090,97
2018-08-25,ve,16948,7896,19506,96
2018-08-26,ve,12661,7997,15969,96
2018-08-27,ve,13642,9053,15978,95
2018-08-28,ve,14397,9523,17182,98
2018-08-29,ve,17649,11779,20873,98
2018-08-30,ve,28930,11132,20305,99
2018-08-31,ve,40551,14494,22042,100
2018-09-01,ve,40080,12486,21836,98
2018-09-02,ve,32972,8598,16625,97
2018-09-03,ve,40009,10207,16948,95
2018-09-04,ve,48823,11206,17225,97
2018-09-05,ve,76218,13665,21808,97
2018-09-06,ve,70833,22917,35955,96
2018-09-07,ve,25203,32342,50334,97
2018-09-08,ve,13887,30339,50351,97
2018-09-09,ve,10317,26024,40510,96
2018-09-10,ve,16282,26970,53921,96
2018-09-11,ve,21555,36626,65537,96
2018-09-12,ve,30445,60239,96677,93
2018-09-13,ve,32884,54002,87308,95
2018-09-14,ve,31649,15980,33932,96
2018-09-15,ve,30861,8829,18690,95
2018-09-16,ve,26045,6882,13949,94
2018-09-17,ve,27691,12151,20406,94
2018-09-18,ve,32021,14933,27925,93
2018-09-19,ve,34848,16234,44990,97
2018-09-20,ve,38453,22266,43894,97
2018-09-21,ve,37321,22155,42331,98
2018-09-22,ve,27885,22879,38763,98
2018-09-23,ve,21125,17365,33753,96
2018-09-24,ve,27959,20321,34168,94
2018-09-25,ve,38431,21734,41442,98
2018-09-26,ve,40610,23590,45864,99
2018-09-27,ve,38896,28771,47195,98
2018-09-28,ve,30432,26135,48226,98
2018-09-29,ve,28283,19798,37482,99
2018-09-30,ve,28415,15670,26460,99
2018-10-01,ve,34971,19520,37585,97
2018-10-02,ve,38168,28650,49675,97
2018-10-03,ve,40317,31980,51046,99
2018-10-04,ve,32846,29637,51104,98
2018-10-05,ve,37589,24039,39812,91
2018-10-06,ve,38135,23476,34406,90
2018-10-07,ve,30175,22316,36363,97
2018-10-08,ve,37858,25830,45238,98
2018-10-09,ve,39240,27720,49188,98
2018-10-10,ve,36897,30560,49275,99
2018-10-11,ve,37653,25135,39426,97
2018-10-12,ve,33849,27564,45362,97
2018-10-13,ve,31432,25872,48266,98
2018-10-14,ve,29255,22470,36273,99
2018-10-15,ve,23588,26089,46391,99
2018-10-16,ve,15620,30287,46472,100
2018-10-17,ve,19722,25727,47127,98
2018-10-18,ve,17758,29890,45072,98
2018-10-19,ve,19182,24327,42481,99
2018-10-20,ve,14620,24213,39043,99
2018-10-21,ve,8417,22449,37050,96
2018-10-22,ve,15666,18338,29894,99
2018-10-23,ve,19569,12324,19793,99
2018-10-24,ve,18881,14877,25022,99
2018-10-25,ve,16923,12764,23361,99
2018-10-26,ve,20227,14725,23979,100
2018-10-27,ve,13423,9695,19357,100
2018-10-28,ve,14647,5863,10889,99
2018-10-29,ve,17695,10463,20823,101
2018-10-30,ve,21599,13571,24824,101
2018-10-31,ve,20399,14606,22285,101
2018-11-01,ve,20087,11087,23574,99
2018-11-02,ve,19837,15674,25135,99
2018-11-03,ve,17030,10055,18106,96
2018-11-04,ve,14854,8698,21676,96
2018-11-05,ve,19550,11259,25268,98
2018-11-06,ve,20581,14345,30702,98
2018-11-07,ve,15923,13465,29327,98
2018-11-08,ve,23312,14170,26302,100
2018-11-09,ve,22958,14943,26119,99
2018-11-10,ve,20324,12782,21414,98
2018-11-11,ve,18624,11255,18502,98
2018-11-12,ve,20745,16081,23476,98
2018-11-13,ve,22175,16633,24872,99
2018-11-14,ve,22910,12468,18925,100
2018-11-15,ve,25792,16004,31118,100
2018-11-16,ve,24927,17900,27283,100
2018-11-17,ve,24109,15372,25853,98
2018-11-18,ve,22711,14365,24039,97
2018-11-19,ve,25997,14301,27149,99
2018-11-20,ve,29031,17454,27396,99
2018-11-21,ve,24924,17885,29370,98
2018-11-22,ve,25522,20649,31115,100
2018-11-23,ve,27587,18899,30878,99
2018-11-24,ve,26178,18462,29745,98
2018-11-25,ve,19698,17860,27525,98
2018-11-26,ve,23398,18688,33371,99
2018-11-27,ve,25767,21960,36456,99
2018-11-28,ve,24923,18139,31912,101
2018-11-29,ve,25170,19515,32855,101
2018-11-30,ve,28498,21419,34534,101
2018-12-01,ve,25584,21731,31150,98
2018-12-02,ve,20374,16044,24329,97
2018-12-03,ve,23981,18774,29814,98
2018-12-04,ve,25570,21885,30130,99
2018-12-05,ve,25687,19583,30974,99
2018-12-06,ve,26926,17194,32755,98
2018-12-07,ve,24512,17292,39441,99
2018-12-08,ve,22141,19972,31112,98
2018-12-09,ve,18888,13594,26659,95
2018-12-10,ve,19055,15947,30465,98
2018-12-11,ve,13196,20011,30732,96
2018-12-12,ve,22582,20126,30565,97
2018-12-13,ve,23375,20480,33002,98
2018-12-14,ve,22306,19489,29857,97
2018-12-15,ve,21388,16043,29060,98
2018-12-16,ve,18122,13971,24135,97
2018-12-17,ve,20529,16137,22716,96
2018-12-18,ve,22000,9705,16827,98
2018-12-19,ve,22084,16718,29052,97
2018-12-20,ve,21406,17577,30370,96
2018-12-21,ve,20820,15176,30022,96
2018-12-22,ve,18288,12985,29386,98
2018-12-23,ve,17443,9585,25558,97
2018-12-24,ve,16856,11286,27777,97
2018-12-25,ve,15331,9247,31438,96
2018-12-26,ve,21508,14670,28622,96
2018-12-27,ve,25334,16119,26591,97
2018-12-28,ve,26920,15777,27090,94
2018-12-29,ve,24479,15312,24863,90
2018-12-30,ve,21539,12497,24234,93
2018-12-31,ve,21159,11310,23349,94
2019-01-01,ve,19331,11782,20899,92
2019-01-02,ve,20197,15481,30297,93
2019-01-03,ve,25907,19749,35463,92
2019-01-04,ve,25950,21132,37327,90
2019-01-05,ve,22321,18511,32967,89
2019-01-06,ve,18126,16596,29687,91
2019-01-07,ve,19654,12190,35891,92
2019-01-08,ve,25766,9021,34816,94
2019-01-09,ve,28460,12521,28975,94
2019-01-10,ve,19285,15906,33234,96
2019-01-11,ve,17005,17765,31028,96
2019-01-12,ve,15891,13835,27320,97
2019-01-13,ve,14384,13703,20459,97
2019-01-14,ve,20122,13875,23096,98
2019-01-15,ve,25474,19262,30753,97
2019-01-16,ve,25463,21923,34348,95
2019-01-17,ve,21265,14892,23321,97
2019-01-18,ve,23979,12770,21189,97
2019-01-19,ve,20868,12852,19305,95
2019-01-20,ve,18019,10836,17523,94
2019-01-21,ve,19597,15936,24287,97
2019-01-22,ve,22003,18706,31026,99
2019-01-23,ve,21732,20847,29232,98
2019-01-24,ve,21222,17140,25750,98
2019-01-25,ve,22079,18053,29534,98
2019-01-26,ve,18487,12850,28705,97
2019-01-27,ve,14771,13042,23025,97
2019-01-28,ve,18573,14711,24096,100
2019-01-29,ve,21790,17116,26717,100
2019-01-30,ve,22947,17387,25590,99
2019-01-31,ve,24877,16274,25837,97
2019-02-01,ve,27643,12627,31582,97
2019-02-02,ve,24263,13746,24105,96
2019-02-03,ve,19188,11043,19209,95
2019-02-04,ve,24726,10614,28039,94
2019-02-05,ve,25080,15787,31114,53
2019-02-08,ve,29142,21011,35121,95
2019-02-09,ve,32244,18352,30392,97
2019-02-10,ve,27437,14777,24714,95
2019-02-11,ve,25330,17895,31839,96
2019-02-12,ve,27720,18336,29962,96
2019-02-13,ve,27211,,,97
2019-02-14,ve,27144,,,97
2019-02-15,ve,30000,22594,34342,96
2019-02-16,ve,24078,25110,37948,95
2019-02-17,ve,16704,21116,32160,96
2019-02-18,ve,20582,19547,30175,96
2019-02-19,ve,23919,21789,32612,97
2019-02-20,ve,25608,21563,33293,97
2019-02-21,ve,27035,19885,35176,94
2019-02-22,ve,25396,22843,38117,94
2019-02-23,ve,20764,19366,29220,94
2019-02-24,ve,19607,12747,21397,94
2019-02-25,ve,22369,15392,26137,95
2019-02-26,ve,21490,19312,28560,97
2019-02-27,ve,20066,20204,31318,97
2019-02-28,ve,24001,22036,31771,95
2019-03-01,ve,22352,20336,30119,95
2019-03-02,ve,19236,15684,26682,95
2019-03-03,ve,16892,15175,24480,94
2019-03-04,ve,16969,17151,29106,95
2019-03-05,ve,17734,17063,27595,94
2019-03-06,ve,22794,15793,24814,94
2019-03-07,ve,19346,19329,29565,95
2019-03-08,ve,6791,17649,27303,94
2019-03-09,ve,3172,13710,24542,94
2019-03-10,ve,3933,13447,20986,94
2019-03-11,ve,6144,10825,23898,96
2019-03-12,ve,11346,13920,21789,96
2019-03-13,ve,17834,18844,26793,96
2019-03-14,ve,18779,14740,23772,96
2019-03-15,ve,23327,4477,9453,95
2019-03-16,ve,21069,2244,4367,93
2019-03-17,ve,15955,2560,5380,93
2019-03-18,ve,18159,3347,8936,94
2019-03-19,ve,20117,8210,14860,93
2019-03-20,ve,21426,12934,23023,94
2019-03-21,ve,20515,14724,23564,94
2019-03-22,ve,20394,16307,30277,94
2019-03-23,ve,15869,14579,26905,93
2019-03-24,ve,12982,9792,22592,93
2019-03-25,ve,14029,10974,26666,94
2019-03-26,ve,4642,10749,30815,94
2019-03-27,ve,3703,14464,29649,93
2019-03-28,ve,12837,13479,28380,96
2019-03-29,ve,15312,14148,26576,96
2019-03-30,ve,6848,11180,20754,94
2019-03-31,ve,4398,8291,17909,92
2019-04-01,ve,7931,10080,19395,90
2019-04-02,ve,10957,3295,6828,87
2019-04-03,ve,13046,2496,5486,88
2019-04-04,ve,17473,9205,18154,89
2019-04-05,ve,18612,11203,21435,90
2019-04-06,ve,13464,4827,9803,89
2019-04-07,ve,11968,3417,5774,89
2019-04-08,ve,15379,5885,10109,89
2019-04-09,ve,17356,7020,15174,86
2019-04-10,ve,12475,9385,16005,88
2019-04-11,ve,12745,10041,23771,89
2019-04-12,ve,19180,11930,24195,90
2019-04-13,ve,16364,9745,16714,90
2019-04-14,ve,13133,8137,15606,90
2019-04-15,ve,14471,10297,19612,90
2019-04-16,ve,16754,11824,22025,88
2019-04-17,ve,16240,7917,17171,88
2019-04-18,ve,14106,7046,17930,90
2019-04-19,ve,13356,11043,26048,90
2019-04-20,ve,12335,10273,21270,89
2019-04-21,ve,12131,9006,16563,90
2019-04-22,ve,14770,9012,19754,91
2019-04-23,ve,17611,10927,22735,89
2019-04-24,ve,17610,10864,22496,90
2019-04-25,ve,17618,8206,21134,91
2019-04-26,ve,19016,7822,20830,91
2019-04-27,ve,18645,7373,19683,88
2019-04-28,ve,16535,7147,19651,88
2019-04-29,ve,15360,11067,19702,89
2019-04-30,ve,15569,12556,23178,88
2019-05-01,ve,15045,9926,26310,86
2019-05-02,ve,17627,13399,24596,86
2019-05-03,ve,19014,12526,27408,86
2019-05-04,ve,16402,13087,25421,87
2019-05-05,ve,14633,11603,21137,89
2019-05-06,ve,17049,11582,19136,91
2019-05-07,ve,19314,11502,19075,91
2019-05-08,ve,19334,10508,18800,92
2019-05-09,ve,20105,13046,20610,91
2019-05-10,ve,18848,13692,23132,90
2019-05-11,ve,15300,12130,20396,87
2019-05-12,ve,14139,11416,17994,88
2019-05-13,ve,17877,12931,22489,89
2019-05-14,ve,20512,15473,24546,88
2019-05-15,ve,18803,15874,23070,89
2019-05-16,ve,16972,14660,25715,89
