#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-relay-country.csv?start=2019-01-01&end=2019-01-30&country=zw&events=off
#
date,country,users,lower,upper,frac
2019-01-01,zw,266,143,390,92
2019-01-02,zw,306,136,413,93
2019-01-03,zw,331,179,480,92
2019-01-04,zw,331,197,509,90
2019-01-05,zw,289,173,459,89
2019-01-06,zw,267,154,422,91
2019-01-07,zw,321,123,547,92
2019-01-08,zw,348,99,577,94
2019-01-09,zw,338,154,521,94
2019-01-10,zw,323,167,502,96
2019-01-11,zw,319,186,468,96
2019-01-12,zw,265,144,422,97
2019-01-13,zw,260,161,362,97
2019-01-14,zw,321,186,446,98
2019-01-15,zw,227,215,488,97
2019-01-16,zw,388,214,481,95
2019-01-17,zw,1095,204,461,97
2019-01-18,zw,1199,197,470,97
2019-01-19,zw,2072,172,387,95
2019-01-20,zw,2498,157,380,94
2019-01-21,zw,2509,208,458,97
2019-01-22,zw,1588,130,339,99
2019-01-23,zw,1090,265,519,98
2019-01-24,zw,952,805,1440,98
2019-01-25,zw,839,826,1599,98
2019-01-26,zw,726,1204,3007,97
2019-01-27,zw,680,1722,3339,97
2019-01-28,zw,722,1792,3230,100
2019-01-29,zw,724,1150,2058,100
2019-01-30,zw,707,795,1395,99
